종목코드,종목명,거래량(주)_매수,거래량(주)_매도,거래량(주)_순매수,거래대금(원)_매수,거래대금(원)_매도,거래대금(원)_순매수,업종명
114090,GKL,"3,344,828","2,885,896","458,932","46,198,910,650","39,620,400,750","6,578,509,900",유원지 및 기타 오락관련 서비스업
006405,삼성SDI우,"1,036,564","995,308","41,256","142,392,032,400","135,882,715,900","6,509,316,500",-
005800,신영와코루,"103,007","3,201","99,806","6,693,982,000","244,180,000","6,449,802,000",봉제의복 제조업
294870,HDC현대산업개발,"8,922,908","8,634,159","288,749","138,807,537,600","132,475,421,100","6,332,116,500",건물 건설업
001680,대상,"2,309,630","1,963,577","346,053","37,412,435,750","31,268,693,150","6,143,742,600",기타 식품 제조업
071840,롯데하이마트,"2,014,654","1,625,473","389,181","30,927,030,300","24,811,012,700","6,116,017,600",가전제품 및 정보통신장비 소매업
000370,한화손해보험,"19,286,332","15,134,483","4,151,849","28,134,531,833","22,344,236,799","5,790,295,034",보험업
241560,두산밥캣,"2,365,953","2,028,481","337,472","42,813,461,450","37,273,141,600","5,540,319,850",특수 목적용 기계 제조업
272210,한화시스템,"11,796,699","11,106,330","690,369","76,999,197,140","71,468,893,815","5,530,303,325",전자부품 제조업
000880,한화,"5,636,644","5,184,156","452,488","83,998,432,750","78,704,132,900","5,294,299,850",기타 화학제품 제조업
00088K,한화3우B,"2,023,328","1,468,643","554,685","19,939,975,820","14,660,417,790","5,279,558,030",-
298040,효성중공업,"2,390,818","2,026,932","363,886","29,726,591,600","24,704,909,750","5,021,681,850","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
267270,현대건설기계,"3,990,348","3,687,846","302,502","59,816,419,300","54,804,344,000","5,012,075,300",일반 목적용 기계 제조업
003540,대신증권,"4,324,574","3,756,333","568,241","35,856,280,040","30,860,111,290","4,996,168,750",금융 지원 서비스업
003240,태광산업,"25,384","17,736","7,648","15,850,957,000","10,901,018,000","4,949,939,000",화학섬유 제조업
090435,아모레퍼시픽우,"181,779","107,396","74,383","11,317,855,600","6,508,595,000","4,809,260,600",-
051600,한전KPS,"1,786,015","1,613,691","172,324","51,362,511,000","46,662,073,400","4,700,437,600",전기 및 통신 공사업
064960,S&T모티브,"842,576","707,077","135,499","26,134,495,100","21,492,830,400","4,641,664,700",자동차 신품 부품 제조업
019680,대교,"11,731,069","10,961,514","769,555","61,687,286,315","57,087,566,305","4,599,720,010",초등 교육기관
033920,무학,"9,331,442","8,450,279","881,163","49,245,282,695","44,647,912,245","4,597,370,450",알코올음료 제조업
001520,동양,"258,815,388","257,259,423","1,555,965","365,258,950,294","360,705,832,431","4,553,117,863","시멘트, 석회, 플라스터 및 그 제품 제조업"
071055,한국금융지주우,"639,060","485,695","153,365","18,222,194,400","13,693,301,800","4,528,892,600",-
007810,코리아써키트,"6,189,319","5,734,801","454,518","51,433,874,700","46,928,850,300","4,505,024,400",전자부품 제조업
001880,삼호,"1,203,029","864,542","338,487","15,225,428,100","11,021,098,050","4,204,330,050",건물 건설업
001430,세아베스틸,"1,881,923","1,318,412","563,511","14,027,273,830","9,883,494,690","4,143,779,140",1차 철강 제조업
079980,휴비스,"21,157,248","20,649,817","507,431","118,697,176,395","114,619,570,970","4,077,605,425",화학섬유 제조업
009155,삼성전기우,"897,413","814,910","82,503","43,539,887,850","39,464,082,950","4,075,804,900",-
019685,대교우B,"5,289,500","3,741,246","1,548,254","13,617,160,495","9,642,648,435","3,974,512,060",-
008930,한미사이언스,"2,255,108","2,118,221","136,887","57,930,855,650","54,063,928,300","3,866,927,350",기타 금융업
021050,서원,"118,344,534","117,067,972","1,276,562","298,604,897,895","294,746,082,735","3,858,815,160",금속 주조업
081000,일진다이아,"5,808,917","5,567,267","241,650","95,159,354,150","91,389,341,850","3,770,012,300",기타 화학제품 제조업
025540,한국단자,"563,996","418,973","145,023","14,131,585,450","10,367,601,550","3,763,983,900","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
096775,SK이노베이션우,"328,058","266,346","61,712","19,208,895,050","15,464,943,250","3,743,951,800",-
317400,자이에스앤디,"3,721,477","2,821,612","899,865","15,309,023,195","11,658,578,675","3,650,444,520",부동산 임대 및 공급업
001120,LG상사,"4,048,389","3,771,199","277,190","36,028,471,000","32,428,176,560","3,600,294,440",상품 중개업
004990,롯데지주,"2,791,486","2,655,299","136,187","69,502,393,850","65,917,333,450","3,585,060,400",기타 금융업
004150,한솔홀딩스,"4,353,950","3,122,508","1,231,442","11,926,377,980","8,342,384,015","3,583,993,965",기타 금융업
099340,하나니켈1호,"467,399,030","459,230,221","8,168,809","212,189,639,616","208,628,903,881","3,560,735,735",신탁업 및 집합투자업
123890,한국자산신탁,"8,839,254","6,831,207","2,008,047","16,083,682,900","12,569,592,145","3,514,090,755",신탁업 및 집합투자업
049770,동원F&B,"124,950","102,132","22,818","20,110,944,500","16,623,912,000","3,487,032,500",기타 식품 제조업
020000,한섬,"1,023,092","854,880","168,212","20,050,969,000","16,642,262,600","3,408,706,400",봉제의복 제조업
004430,송원산업,"2,970,384","2,629,150","341,234","27,024,516,430","23,646,982,940","3,377,533,490",기타 화학제품 제조업
001500,현대차증권,"2,984,780","2,476,542","508,238","19,488,569,910","16,126,312,430","3,362,257,480",금융 지원 서비스업
000060,메리츠화재,"2,927,113","2,562,096","365,017","33,237,503,230","29,875,875,540","3,361,627,690",보험업
069260,휴켐스,"1,255,546","1,038,440","217,106","18,911,979,050","15,555,768,800","3,356,210,250",기타 화학제품 제조업
052690,한전기술,"2,220,377","2,031,251","189,126","34,219,431,100","30,886,647,550","3,332,783,550","건축기술, 엔지니어링 및 관련 기술 서비스업"
103140,풍산,"2,292,517","2,113,491","179,026","39,489,452,750","36,303,240,250","3,186,212,500",1차 비철금속 제조업
005440,현대그린푸드,"3,445,958","3,072,513","373,445","23,037,818,045","19,852,938,220","3,184,879,825",종합 소매업
28513K,SK케미칼우,"3,581,280","3,469,434","111,846","98,666,650,200","95,486,438,500","3,180,211,700",-
213500,한솔제지,"1,996,364","1,698,286","298,078","20,703,671,480","17,666,046,660","3,037,624,820","펄프, 종이 및 판지 제조업"
003280,흥아해운,"593,266,959","586,476,153","6,790,806","185,146,540,311","182,179,837,715","2,966,702,596",해상 운송업
011200,현대상선,"32,603,166","31,180,080","1,423,086","94,543,232,760","91,608,833,765","2,934,398,995",해상 운송업
079430,현대리바트,"2,160,494","1,773,430","387,064","16,228,200,510","13,333,420,030","2,894,780,480",가구 제조업
000215,대림산업우,"412,032","310,600","101,432","11,448,689,000","8,640,593,600","2,808,095,400",-
001060,JW중외제약,"22,072,830","21,993,792","79,038","625,922,660,750","623,123,592,700","2,799,068,050",의약품 제조업
267850,아시아나IDT,"6,262,237","6,169,194","93,043","84,055,867,520","81,272,738,600","2,783,128,920","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
088260,이리츠코크렙,"2,355,754","1,761,312","594,442","11,553,106,015","8,776,707,615","2,776,398,400",부동산 임대 및 공급업
03473K,SK우,"420,566","398,540","22,026","50,422,006,200","47,732,250,900","2,689,755,300",-
015540,쎌마테라퓨틱스,"6,706,599","6,266,199","440,400","36,195,712,570","33,619,166,295","2,576,546,275",기타 사업지원 서비스업
029780,삼성카드,"601,260","508,549","92,711","17,272,626,900","14,716,951,700","2,555,675,200",기타 금융업
006120,SK디스커버리,"2,548,899","2,439,765","109,134","49,323,847,800","46,768,411,350","2,555,436,450",기타 금융업
009190,대양금속,"25,305,105","24,519,974","785,131","58,896,004,350","56,365,873,075","2,530,131,275",1차 철강 제조업
006840,AK홀딩스,"869,728","723,614","146,114","15,142,677,250","12,620,284,600","2,522,392,650",기타 금융업
241590,화승엔터프라이즈,"4,971,853","4,688,456","283,397","55,177,795,180","52,688,305,950","2,489,489,230",신발 및 신발 부분품 제조업
002240,고려제강,"459,957","274,943","185,014","6,190,657,400","3,734,273,800","2,456,383,600",1차 철강 제조업
005180,빙그레,"369,501","311,446","58,055","16,051,228,400","13,612,060,050","2,439,168,350",낙농제품 및 식용빙과류 제조업
005389,현대차3우B,"457,913","411,729","46,184","22,041,409,400","19,604,075,500","2,437,333,900",-
298050,효성첨단소재,"714,602","668,702","45,900","43,577,459,550","41,152,970,750","2,424,488,800",화학섬유 제조업
069960,현대백화점,"620,239","571,900","48,339","37,960,604,600","35,538,725,600","2,421,879,000",종합 소매업
014990,인디에프,"29,953,527","28,420,926","1,532,601","38,815,214,312","36,393,603,606","2,421,610,706",봉제의복 제조업
145720,덴티움,"958,528","898,614","59,914","33,101,051,100","30,681,722,500","2,419,328,600",의료용 기기 제조업
109070,컨버즈,"8,711,183","8,239,064","472,119","76,281,664,965","73,865,703,705","2,415,961,260","골판지, 종이 상자 및 종이용기 제조업"
003000,부광약품,"121,817,456","122,094,709","-277,253","2,270,840,182,050","2,268,470,201,300","2,369,980,750",의약품 제조업
017940,E1,"493,505","389,832","103,673","13,193,734,050","10,855,967,750","2,337,766,300",기타 전문 도매업
004800,효성,"934,569","887,153","47,416","55,977,865,800","53,672,560,800","2,305,305,000",기타 금융업
118000,우리들휴브레인,"39,123,078","38,598,941","524,137","94,671,895,195","92,378,054,445","2,293,840,750",기계장비 및 관련 물품 도매업
214320,이노션,"281,923","243,259","38,664","15,264,488,150","12,985,852,400","2,278,635,750",광고업
004960,한신공영,"1,030,806","801,806","229,000","10,711,806,550","8,459,608,420","2,252,198,130",건물 건설업
030610,교보증권,"2,756,499","2,383,104","373,395","15,763,768,995","13,514,741,885","2,249,027,110",금융 지원 서비스업
011390,부산산업,"584,351","565,728","18,623","56,392,193,000","54,174,157,100","2,218,035,900","시멘트, 석회, 플라스터 및 그 제품 제조업"
298000,효성화학,"669,666","623,742","45,924","46,440,312,100","44,247,429,400","2,192,882,700",기초 화학물질 제조업
001530,DI동일,"192,360","151,434","40,926","10,733,839,950","8,547,177,450","2,186,662,500",상품 중개업
004000,롯데정밀화학,"1,245,195","1,176,337","68,858","36,598,834,050","34,422,799,550","2,176,034,500",기초 화학물질 제조업
